循	beachten		befolgen	a
睬	beachten		ignorieren	w
臣	Beamte			
官	Beamter			
督	beaufsichtigen			
委	beauftragen			
抖	beben			
池	Becken			
憾	bedauern		bedauernswert	w
悔	bedauern		jammern	w
惋	bedauern		Bedauern	w
懊	bedauern		bedrücken	w
摀	bedecken			
偉	bedeutend			
謂	Bedeutung			
侍	bedienen			
嚇	bedrohen		einschüchtern	a
憋	bedrückt			
趨	beeilen			
完	beenden		vollständig	w
畢	beenden		Abschluss	w
喪	Beerdigung			
莓	Beere			
懦	befangen			
吩	befehlen			
攬	befestigen			
瑕	beflecken			
順	befolgen			
賑	befreien			
畸	befremdend			
晉	befördert werden			
懼	befürchten			
晤	begegnen			
欲	Begierde		ohne Herz	g
慾	Begierde		mit Herz	g
灌	begießen			
初	Beginn			
陪	begleiten			
埋	begraben			
悟	begreifen		verstehen	w
限	begrenzen			
迎	begrüßen			
待	behandeln			
炕	beheizte Schlafbank			
尹	beherrschen			
妨	behindern			
慎	behutsam			
倆	beide			
艾	Beifuß			
括	beifügen			
腿	Bein			
含	beinhalten		enthalten	w
涵	beinhalten		Intention	w
撇	beiseite lassen			
例	Beispiel		Maßstab	w
範	Beispiel		Musterbeispiel	w
咬	beißen			
頒	bekanntgeben			
擔	beladen			
侮	beleidigen			
曝	Belichtung			
酬	Belohnung			
娛	belustigen			
繪	bemalen			
憐	bemitleiden			
勉	bemühen			
羨	beneiden			
舒	bequem			
計	berechnen			
山	Berg			
嶺	Bergkette			
灑	berieseln			
職	Beruf			
摸	berühren		abtasten	w
碰	berühren		begegnen	w
觸	berühren		Kontakt	w
謙	bescheiden			
饋	beschenken			
罵	beschimpfen			
賴	beschuldigen		angewiesen sein	w
怨	beschuldigen		meckern	w
損	beschädigen		Verlust	w
毀	beschädigen		Vernichtung	w
忙	beschäftigt		im Büro	f
碌	beschäftigt		zu Hause	f
窘	beschämt		Bedrängnis	w
慚	beschämt		rot werden	f
愧	beschämt		Gewissensbisse	w
護	beschützen			
除	beseitigen			
掃	Besen		aufräumen	w
帚	Besen		Feger	w
覽	besichtigen			
殖	besiedeln			
尤	besonders			
憂	besorgt			
優	besorgt sein			
談	besprechen			
濺	bespritzen			
愈	bessern			
葬	bestatten			
賄	Bestechung		Ab	p
賂	Bestechung		aB	p
登	besteigen			
定	bestimmen			
剛	beständig			
證	Bestätigung			
訪	besuchen		Zugriff	w
赴	besuchen		gehen	a
賓	Besucher			
檳	Betelnuss			
禱	beten			
款	Betrag			
詐	Betrug; Schwindel; Schaden; Übel; Nachteil			
醉	betrunken		Betäubung	w
酗	betrunken		Alkoholkrankheit	w
悽	betrübt			
騙	betrügen			
床	Bett			
毯	Bettdecke			
乞	betteln			
丐	Bettler			
操	betätigen			
曲	Beuge			
驚	beunruhigen			
評	beurteilen			
囊	Beutel			
守	bewachen		Nachtwächter	f
衛	bewachen		Badezimmer	w
維	bewahren			
餞	bewahrt			
動	bewegen			
估	bewerten			
使	bewirken		Botschaft (Land)	w
